id,slot_name,slot_number,start_time,end_time,is_break,is_active,created_at,updated_at
aa0e8400-e29b-41d4-a716-446655440001,Period 1,1,08:00:00,08:45:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440002,Period 2,2,08:45:00,09:30:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440003,Period 3,3,09:30:00,10:15:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440004,Period 4,4,10:15:00,11:00:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440005,Break 1,5,11:00:00,11:15:00,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440006,Period 5,6,11:15:00,12:00:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440007,Period 6,7,12:00:00,12:45:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440008,Lunch Break,8,12:45:00,13:30:00,true,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440009,Period 7,9,13:30:00,14:15:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440010,Period 8,10,14:15:00,15:00:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440011,Period 9,11,15:00:00,15:45:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
aa0e8400-e29b-41d4-a716-446655440012,Period 10,12,15:45:00,16:30:00,false,true,2024-12-01 00:00:00+00,2024-12-01 00:00:00+00
